video_id,type,playlist_id,playlist_title,channel_title,channel_id
4K0hOIRBA6A,channel,,,متجر كلشي نسائي ,UCr2CamUm2HMej0bMwP4ExHQ
RAUCfqFzTAQ,playlist,PL4_bo90i-4GItp18iodTK2cv-Mzn0k1es,الدحيح,New Media Academy Life ,UCtJmfVv0a52Bu7BnJJtZXKw
RAUCfqFzTAQ,playlist,PL2jdOr9oJl6L3SZwO8atLeLOJN52BgPpE,الدحيح (كل الحلقات),Oussama Teyib,UCAcjPL1lhv-tFT3IADTtHKA
RAUCfqFzTAQ,playlist,PLwRsUJUxr_qFHJBPonnbaGvf06seMOZJ7,الدحيح 2,Faisal Awadelkarim,UC-67p3ikXQmC-nL4zsvRV-w
RAUCfqFzTAQ,playlist,PLrguz3ZSJdvaLQWVgbLyPQ2LR3YmkmCKB,تجميعات الدحيح,Mohamed Ahmed,UC8E38MUI4y4b9TWzKir22yw
RAUCfqFzTAQ,playlist,PLdzQ_HoDSovFs0n1riUszcTe4NP5sVLHP,الدحيح,Tolga,UC0gMZhZ4LDPonDRQ4Jk55Ug
RAUCfqFzTAQ,playlist,PLsTkAlCnrSVf29CJGY4OyVR04PfWK3cuL,الدحيح,διάβολος κλαίω,UCj9DE0HYnIlGPF5wJ8LuuQQ
RAUCfqFzTAQ,playlist,PLKerldNdwM8BwR7WhxyQQ_7YrODawZvEa,الدحيح,د محمد أحمد عاصم,UCJewFQDivL95lj-5wsOekfQ
RAUCfqFzTAQ,playlist,PLjyUNAe86tnSYJTpfN8tYGTDSz6U2a6ON,الدحيح,Ahmed Elrifay,UCumq05it9M_ic2jaVKi6aiA
RAUCfqFzTAQ,playlist,PLokRWu5y8c18QTv14wGQMFYEt3oBTOyq6,الباشا و الدحيح و حسن هاشم وفيديوهات متنوعه,Basha Masr,UC4wGae0gyy8FKuMp94LwoRA
RAUCfqFzTAQ,playlist,PL2am6jAmABvPYoMkmeg1V8xo0oNlEmMgi,📚 الدحيح 📚 حلقات تاريخ وأحداث ومعلومات 📜,Noor Hany,UCTDn3DNhhhSK8j89S3oERbQ
